"id","OVERALL_PICK","Duration","PlayingStatus","LABEL","WC","Analytic","Clout","Authentic","Tone","WPS","BigWords","Dic","Linguistic","function.","pronoun","ppron","i","we","you","shehe","they","ipron","det","article","number","prep","auxverb","adverb","conj","negate","verb","adj","quantity","Drives","affiliation","achieve","power","Cognition","allnone","cogproc","insight","cause","discrep","tentat","certitude","differ","memory","Affect","tone_pos","tone_neg","emotion","emo_pos","emo_neg","emo_anx","emo_anger","emo_sad","swear","Social","socbehav","prosocial","polite","conflict","moral","comm","socrefs","family","friend","female","male","Culture","politic","ethnicity","tech","Lifestyle","leisure","home","work","money","relig","Physical","health","illness","wellness","mental","substances","sexual","food","death","need","want","acquire","lack","fulfill","fatigue","reward","risk","curiosity","allure","Perception","attention","motion","space","visual","auditory","feeling","time","focuspast","focuspresent","focusfuture","Conversation","netspeak","assent","nonflu","filler","AllPunc","Period","Comma","QMark","Exclam","Apostro","OtherP","Emoji"
699,1000,0,"","Y",576,12.44,91.85,53.31,66.74,23.04,11.63,96.18,82.99,65.1,21.35,13.54,2.95,6.6,1.22,2.26,0.52,7.81,12.5,6.08,1.91,11.81,8.33,9.2,9.72,1.04,22.92,5.03,4.17,10.07,7.81,1.56,0.69,14.93,1.39,13.54,2.26,1.56,2.78,1.91,1.39,4.17,0,5.21,3.99,1.04,1.04,0.69,0.17,0,0,0.17,0,13.89,2.6,0.52,0,0,0.17,1.39,11.28,0,0,0,2.26,0,0,0,0,3.47,2.78,0,0.69,0,0,0.35,0,0,0,0,0,0,0,0,0.52,0.87,2.08,0,0,0,0.17,0.17,0,8.68,9.38,0,2.78,7.47,0.17,0,0.17,3.99,10.59,3.13,2.78,0.35,0,0.17,0.17,0,12.33,4.17,6.08,0.17,0,1.91,0,0
700,1000,NA,"","N",939,7.94,74.64,68.44,49.55,22.36,12.14,92.01,75.72,63.9,19.49,11.5,3.83,4.79,1.28,0.96,0.64,7.99,14.06,5.11,1.28,11.82,10.86,9.58,10.86,1.28,21.09,3.83,5.11,7.67,4.79,1.6,1.28,15.02,2.56,12.46,2.88,0.96,0,0.96,1.92,3.19,0,3.19,2.56,0.64,1.28,0.64,0.64,0.32,0.32,0,0,8.63,0.32,0,0,0.32,0.32,0,8.31,0,0,0,1.28,0,0,0,0,5.11,2.88,0,2.24,0,0,0.64,0.64,0,0,0,0,0,0,0,1.28,0,0.96,0,0,0,0.64,0,0,8.63,9.9,0.64,3.51,6.39,0.96,0,0,1.92,5.43,5.75,4.15,0.96,0,0.96,0,0,14.7,4.47,5.75,0,0,3.83,0.64,0
701,12,10,"","Y",9830,17.98,54.09,86.44,76.16,15.68,9.01,94.69,81.22,61.89,20.51,15.03,7.15,3.9,1.45,1.19,1.33,5.48,12.37,6.23,0.63,12.29,9.2,7.58,7.77,2.1,23.22,5.64,4.99,9.77,5.48,3.21,1.32,13.25,1.4,11.64,3.42,1.03,1.52,2.07,1.21,3.66,0.01,5.58,4.55,0.95,1.52,1.13,0.3,0.09,0.08,0,0,12.03,3.06,1.34,0.04,0.08,0.04,1.17,9.91,0.14,0.22,0,1.73,0,0,0,0,3.98,2.53,0,1.23,0.14,0.07,0.44,0.2,0.01,0.04,0,0,0,0.04,0,0.58,0.26,1.96,0.28,0.09,0.07,0.39,0.08,0.34,11.24,9.46,0.43,2.81,5.93,0.34,0.04,0.93,3.92,7.39,4.57,1.49,1.07,0.21,0.61,0.24,0,19.39,6.35,8.64,0.11,0,3.76,0.53,0
702,1000,0,"","Y",360,4.55,99,35.76,72.45,12,13.33,96.11,81.11,63.33,26.67,16.67,1.67,11.67,0,1.11,2.22,10,16.67,6.11,0,10.56,9.44,4.44,12.22,2.78,21.67,5,5,21.11,16.67,2.22,2.22,16.11,0.56,15.56,1.67,2.78,0.56,2.22,1.11,6.67,0,5.56,4.44,1.11,2.22,1.11,1.11,1.11,0,0,0,22.22,6.11,3.89,0,0,0,1.67,18.89,0,0,0,1.11,0,0,0,0,1.11,0.56,0,0.56,0,0,0,0,0,0,0,0,0,0,0,0.56,0.56,2.78,0,0,0,0,0,0,7.78,7.22,0,0.56,4.44,0.56,0.56,1.11,2.78,7.22,7.78,0.56,2.22,0.56,1.67,0,0,23.89,8.33,7.78,0,0,7.22,0.56,0
703,9,1,"STILL PLAYING","Y",1014,6.65,13.61,78.07,50.5,12.37,10.06,95.07,85.01,64.99,24.26,14.89,10.26,2.66,0.49,0.39,1.08,9.37,12.33,6.11,0.2,10.55,11.54,7.89,7.79,1.58,24.16,5.42,5.23,7.3,3.85,3.25,0.39,15.68,2.07,13.61,4.54,0.79,1.78,2.56,2.47,2.86,0,3.35,2.47,0.49,2.07,1.28,0.39,0.1,0.3,0,0,7.79,2.56,1.28,0.1,0.39,0,0.1,5.92,0,0.1,0,0.59,0.1,0,0,0.1,2.76,0.79,0,1.58,0,0.39,0,0,0,0,0,0,0,0,0,0.3,0.49,1.48,0,0,0,0.1,0,0.3,8.28,8.97,1.18,1.08,3.65,2.07,0,1.38,2.17,5.13,6.71,3.35,1.97,0,1.97,0,0,21.79,8.09,7.5,0,0,6.11,0.1,0
704,1000,NA,"","N",825,12.09,59.53,58.28,95.16,10.58,9.09,97.09,85.09,63.64,23.27,17.45,8.36,5.09,0,3.64,0.36,5.82,11.64,4.36,1.45,12.73,6.91,9.09,7.64,2.18,18.55,10.55,4.73,10.55,5.45,4,1.09,8.73,1.45,7.27,2.55,0.73,1.45,1.09,0.73,1.82,0,7.27,6.55,0.73,4,3.27,0.73,0.73,0,0,0,11.27,0.73,0.36,0,0,0,0.36,10.55,0,0,0,3.64,0,0,0,0,5.09,1.82,0,2.55,0.73,0,1.09,0,0,0,0,0,0,0,0,0,0.36,0.73,0,0,0,1.45,0,0,7.64,12.36,0,1.82,7.27,1.09,0,2.55,2.55,11.64,0.73,0.36,0,0,0,0,0,17.45,9.45,5.09,0,0,2.55,0.36,0
705,19,4,"","Y",7965,20.31,94.52,47.06,71.28,14.89,9.63,95.38,81.57,64.33,20.21,12.74,2.57,5.47,1.87,1.56,1.24,7.47,13.53,6.16,1.28,14.27,11.39,7.6,7.26,1.51,24.44,5.27,4.9,9.73,6.52,2.02,1.27,13.81,1.28,12.52,3.28,1.04,1.52,2.44,1.67,3.11,0.06,5.9,4.56,1.31,1.49,0.78,0.67,0.05,0.35,0.06,0,14.5,2.84,1.02,0.06,0.16,0.19,1.04,12.15,0,0,0.06,2.36,0.05,0,0,0.05,2.6,2.15,0.09,0.36,0,0,0.35,0.01,0,0,0,0,0,0.01,0,1.16,0.4,1.32,0,0,0.04,0.41,0.15,0.01,10.91,9.55,0.35,1.68,6.3,1.08,0.11,1,3.84,4.86,6.89,3.9,0.7,0.06,0.58,0.06,0,16.57,6.73,5.37,0.01,0,4.37,0.09,0
706,58,2,"STILL PLAYING","Y",184,2.31,30.96,92.58,63.01,8,7.61,96.2,87.5,72.83,29.35,17.39,8.7,4.35,0.54,3.26,0.54,11.96,13.59,2.72,0.54,16.3,14.67,9.78,4.89,3.26,25.54,5.43,4.89,7.07,4.89,1.63,0.54,13.04,3.26,9.78,2.72,1.63,1.09,0.54,0,4.89,0,2.72,2.72,0,2.17,2.17,0,0,0,0,0,10.87,0.54,0,0,0,0,0,10.33,0,0,0,4.89,0,0,0,0,2.72,0.54,0,1.63,0,0.54,0.54,0,0,0,0,0,0,0.54,0,0,0,1.63,0,0,0,0,0,0,5.43,10.87,0,3.8,7.07,1.09,0,0,3.26,2.72,9.78,4.35,0.54,0,0.54,0,0,26.09,12.5,5.43,0,0,8.15,0,0
707,1000,NA,"","N",1110,24.68,16.59,60.25,86.41,15.63,14.86,96.13,81.98,66.58,18.47,9.64,8.11,0.54,0.72,0,0.27,8.83,14.41,7.39,1.62,16.4,11.8,9.19,8.74,1.17,21.98,4.95,4.41,7.21,2.61,3.15,2.34,14.05,1.17,12.88,2.79,0.27,3.15,2.7,2.16,2.16,0,7.03,5.77,1.26,2.25,1.89,0.36,0,0,0.36,0,9.1,5.14,2.7,0.36,0,0,1.89,5.41,0,0,0,0.27,0,0,0,0,2.34,0.9,0,0.81,0,0.63,0.9,0.63,0.27,0.36,0,0,0,0.27,0,1.35,0.36,1.44,0.27,0,0,0.81,0.36,0,9.1,9.91,0.81,1.62,6.49,0.36,0,0.54,1.53,3.51,5.68,0.63,0,0,0,0,0,16.58,6.94,4.32,0,0,4.23,1.08,0
708,1000,NA,"","N",452,36.13,70.83,91.44,47.03,12.56,12.39,94.69,81.42,62.83,20.35,16.81,6.19,6.19,0.88,1.77,1.77,3.54,15.93,7.96,4.42,13.27,10.62,3.54,5.31,2.65,22.12,7.96,9.73,7.08,6.19,0,0.88,13.27,0.88,12.39,4.42,0,0.88,1.77,0,4.42,0,5.31,3.54,1.77,0.88,0,0.88,0,0.88,0,0,13.27,1.77,0,0,0.88,0.88,0,11.5,0,0,0,2.65,0,0,0,0,3.54,2.65,0,0.88,0.88,0,0.88,0,0,0,0,0,0,0,0,0,0,0.88,0,0,0,0,0.88,0,3.54,11.5,0,0.88,9.73,0.88,0,0,2.65,8.85,2.65,3.54,0,0,0,0,0,14.16,7.96,3.54,0,0,2.65,0,0
